,x,y,avgE,stdE,avgFx,avgFy,stdFx,stdFy,loss,type,generation,E_1,E_2,E_3,E_4,E_5,Fx_1,Fx_2,Fx_3,Fx_4,Fx_5,Fy_1,Fy_2,Fy_3,Fy_4,Fy_5
449,-0.020066889,-1.103679,8.219867,1.2211663,-10.057273,23.011755,5.054698,3.3011756,2.0269837,contour,2,10.058044,7.3287134,8.866152,7.6522856,7.1941476,-16.214249,-7.867568,-14.071499,-8.467667,-3.6654131,27.390497,19.557962,25.32005,20.411816,22.378418
450,0.0040133777,-1.103679,8.460131,1.3401738,-9.895544,22.90955,5.391303,3.5106912,2.1939044,contour,2,10.450607,7.5167856,9.206082,7.853688,7.2734838,-16.389784,-7.7535787,-14.157003,-8.257374,-2.9200196,27.492653,19.257992,25.468058,20.086348,22.242695
451,0.028093645,-1.103679,8.696341,1.4673344,-9.720705,22.801441,5.730979,3.7244744,2.36188,contour,2,10.847357,7.702158,9.547708,8.049848,7.3346195,-16.5616,-7.6431475,-14.211374,-8.032974,-2.154458,27.588196,18.954496,25.618717,19.743912,22.101864
452,0.052173913,-1.103679,8.928182,1.6027511,-9.532597,22.687809,6.071481,3.9419212,2.5293045,contour,2,11.2482,7.8848968,9.890219,8.240456,7.377118,-16.730194,-7.53439,-14.229473,-7.795802,-1.3731627,27.677101,18.648508,25.771132,19.385578,21.956726
453,0.07625418,-1.103679,9.155328,1.7464359,-9.330576,22.56907,6.4106617,4.162474,2.6946902,contour,2,11.653069,8.064997,10.232677,8.425213,7.400662,-16.895933,-7.4229364,-14.206134,-7.5472817,-0.5806241,27.759405,18.340767,25.924488,19.012562,21.808134
454,0.10033445,-1.103679,9.377423,1.8983849,-9.113388,22.44567,6.7466474,4.3856616,2.8568275,contour,2,12.061895,8.242305,10.574024,8.603859,7.4050274,-17.059025,-7.300657,-14.136915,-7.2889266,0.21857357,27.835201,18.031647,26.078228,18.626236,21.65701
455,0.12441471,-1.103679,9.594091,2.058564,-8.87903,22.318064,7.0780377,4.6112175,3.014969,contour,2,12.474618,8.416403,10.913126,8.776182,7.390118,-17.219559,-7.1539016,-14.019142,-7.022333,1.0197628,27.90464,17.720999,26.232224,18.228102,21.504326
456,0.14849499,-1.103679,9.80488,2.2269137,-8.624559,22.186764,7.404144,4.839133,3.1690423,contour,2,12.891179,8.586472,11.248808,8.942004,7.3559365,-17.377487,-6.9613914,-13.853018,-6.749162,1.8182377,27.967936,17.408047,26.386963,17.819761,21.35109
457,0.17257525,-1.103679,10.00926,2.403415,-8.345936,22.052326,7.7251463,5.069711,3.3197887,contour,2,13.311506,8.75106,11.579941,9.101187,7.3026123,-17.532612,-6.6927214,-13.642454,-6.471133,2.6092224,28.025362,17.091282,26.543703,17.402927,21.198332
458,0.19665551,-1.103679,10.206592,2.588073,-8.038321,21.915373,8.042211,5.3035445,3.4688468,contour,2,13.735532,8.907885,11.9055395,9.253634,7.230377,-17.684587,-6.30985,-13.395105,-6.190011,3.387939,28.077286,16.76869,26.704409,16.979374,21.047087
